student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,schoolsup,famsup,paidTuition,activities,free_time,going_out,mobile_time,tv_watch_time,health,absences,G1,G2,G3,no_of_hours,Average_Grade,Max_Score,G4
716301,MS,M,19,U,LE3,T,2,2,Full_time,Full_time,1,5,0,no,1,no,2,4,2,3,1,2,17,3,0,0,6,1,4,1
259827,MS,F,17,R,GT3,T,2,3,Hybrid,At_home,2,3,0,no,2,yes,1,4,1,1,3,0,1,8,3,12,2,9,12,63
125811,GP,F,21,R,GT3,A,3,1,At_home,At_home,0,1,0,yes,2,yes,3,1,1,0,3,2,20,0,1,3,10,0,3,14
551338,MS,M,19,R,GT3,A,3,1,Full_time,Hybrid,2,0,0,no,1,yes,1,3,1,0,4,0,8,5,2,7,1,4,8,41
399841,GP,F,16,U,LE3,T,0,3,Full_time,Hybrid,4,2,1,yes,3,no,3,0,2,0,4,4,11,19,2,12,3,12,19,65
685484,MS,F,14,U,LE3,A,0,2,Full_time,Hybrid,1,4,0,no,3,yes,3,4,0,2,0,4,7,16,11,4,2,11,15,40
737388,MS,F,20,U,GT3,A,0,1,At_home,Full_time,0,4,0,no,2,yes,2,1,3,2,3,4,5,2,1,11,5,5,10,51
511560,GP,F,21,U,LE3,T,0,1,Full_time,At_home,3,3,0,no,2,no,3,3,3,0,3,0,12,17,13,15,5,14,18,82
120656,GP,F,20,U,GT3,T,0,3,Full_time,At_home,2,5,0,yes,3,no,3,2,0,2,4,0,19,10,11,3,2,8,11,18
257454,MS,F,17,R,GT3,T,0,0,At_home,At_home,2,0,0,no,3,no,3,3,0,0,0,0,24,0,9,9,9,6,9,51
262103,MS,F,16,U,GT3,A,2,1,Hybrid,Full_time,3,6,0,no,1,yes,3,4,0,2,3,1,24,6,2,3,0,3,5,6
302421,GP,F,15,R,LE3,T,0,0,Hybrid,Hybrid,2,5,0,yes,3,yes,2,3,3,3,3,1,9,15,14,11,3,14,14,64
160574,GP,F,21,R,LE3,T,1,0,At_home,At_home,2,0,2,yes,1,yes,1,0,1,3,0,3,18,17,4,6,8,8,17,34
560476,GP,M,15,U,LE3,A,1,2,Hybrid,At_home,1,0,0,no,1,no,1,0,3,1,2,3,13,10,19,4,0,11,19,31
157529,GP,F,15,U,GT3,A,1,0,At_home,Hybrid,0,3,0,no,2,no,1,1,1,0,0,1,8,6,5,8,6,8,7,47
494710,MS,M,19,R,GT3,A,0,1,At_home,Hybrid,3,4,0,no,1,no,1,1,0,1,3,1,10,11,19,8,0,13,20,51
511579,MS,F,15,R,GT3,T,0,1,Full_time,Hybrid,1,4,0,yes,3,no,3,0,0,3,0,4,12,0,8,14,5,8,15,77
777172,GP,M,19,R,GT3,A,2,0,At_home,Full_time,1,0,0,no,1,no,3,0,1,3,1,4,8,21,6,13,1,11,19,66
206741,GP,M,17,R,GT3,T,1,1,Full_time,At_home,1,4,0,yes,2,yes,1,1,1,2,0,1,26,2,16,0,6,5,15,5
720348,GP,M,14,U,GT3,A,1,1,At_home,Hybrid,0,5,0,yes,3,yes,3,0,0,3,2,4,17,16,4,18,1,13,17,92
107160,GP,M,17,U,LE3,A,0,0,At_home,Full_time,3,0,0,yes,3,yes,2,0,1,2,3,2,11,20,17,19,2,18,18,106
272415,MS,F,18,U,GT3,A,2,2,At_home,At_home,3,2,0,no,3,no,1,3,2,0,3,4,4,13,6,6,9,10,15,38
647881,MS,F,15,U,LE3,A,3,0,At_home,Hybrid,1,1,0,yes,3,no,2,2,0,5,4,0,4,14,0,0,7,6,15,8
755644,GP,M,20,U,LE3,T,2,0,Full_time,Full_time,1,4,0,yes,2,yes,1,3,1,3,3,1,10,0,18,18,6,12,19,99
541299,MS,F,20,R,LE3,A,0,0,Hybrid,At_home,0,0,0,yes,3,yes,3,0,4,1,1,2,19,15,16,14,4,15,18,69
268923,GP,F,21,R,LE3,T,0,2,Full_time,At_home,1,0,2,yes,1,yes,3,0,0,0,0,0,27,19,6,3,2,9,18,16
644666,MS,F,18,U,GT3,T,3,0,Full_time,Hybrid,0,4,0,no,3,yes,3,2,3,5,2,1,9,6,8,4,10,5,8,24
763851,MS,M,19,R,GT3,T,0,0,At_home,Full_time,3,4,0,yes,3,yes,3,1,2,2,2,2,5,18,11,15,7,14,18,74
951932,MS,M,16,U,LE3,T,3,2,Full_time,Full_time,0,5,1,no,3,no,2,1,1,0,1,2,21,4,0,8,3,3,6,28
952868,MS,F,17,R,GT3,A,2,0,At_home,At_home,2,0,0,yes,1,yes,3,3,0,1,1,0,14,10,9,17,8,12,16,83
887891,GP,M,15,U,GT3,A,1,2,At_home,At_home,1,5,0,yes,1,yes,3,3,2,4,1,1,10,15,9,4,2,8,16,19
