student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,schoolsup,famsup,paidTuition,activities,free_time,going_out,mobile_time,tv_watch_time,health,absences,G1,G2,G3,no_of_hours,Average_Grade,Max_Score,G4
716301,MS,M,19,U,LE3,A,2,1,Full_time,Hybrid,1,4,0,yes,1,yes,2,4,2,3,1,2,16,4,1,0,7,1,3,1
259827,MS,F,17,U,GT3,A,2,2,Hybrid,Full_time,1,2,0,yes,1,no,1,3,2,1,3,1,0,7,3,13,2,9,13,61
125811,GP,F,21,U,GT3,T,3,2,At_home,At_home,0,2,0,yes,2,yes,2,0,1,1,4,2,20,1,1,2,10,1,2,15
551338,GP,M,19,U,LE3,A,2,0,Hybrid,Hybrid,2,0,0,no,3,yes,3,2,2,0,4,0,9,6,1,8,0,5,8,40
399841,GP,F,16,U,GT3,A,0,2,Full_time,Hybrid,4,3,1,yes,1,no,3,0,1,1,3,4,12,20,1,14,3,12,19,61
685484,GP,F,14,R,LE3,A,0,2,Full_time,Full_time,0,4,0,no,2,no,3,5,1,1,0,3,7,16,10,4,3,10,14,31
737388,GP,F,20,R,LE3,T,1,1,Full_time,Full_time,0,5,0,no,1,yes,1,2,3,2,2,5,4,2,2,12,4,4,9,60
511560,MS,F,21,U,LE3,A,0,1,Hybrid,Full_time,3,3,0,yes,1,no,3,2,2,0,2,0,14,17,14,14,5,14,17,74
120656,GP,F,20,R,GT3,A,0,3,At_home,Hybrid,1,6,0,yes,1,no,2,2,0,2,3,0,20,9,11,4,2,7,11,22
257454,GP,F,17,R,GT3,T,0,0,Hybrid,At_home,2,0,0,yes,1,no,2,4,0,1,1,0,22,1,7,7,10,6,9,57
262103,GP,F,16,U,LE3,A,2,1,Hybrid,Full_time,2,6,0,no,1,no,3,4,0,3,2,2,23,6,1,2,0,3,6,14
302421,MS,F,15,U,LE3,A,1,0,Full_time,At_home,2,5,0,yes,1,no,2,3,4,4,4,1,9,15,15,11,2,13,14,70
160574,GP,F,21,U,GT3,T,0,0,Hybrid,Full_time,3,0,1,yes,1,no,2,0,0,3,1,2,17,17,4,7,9,9,16,35
560476,MS,M,15,U,GT3,T,2,2,Hybrid,Hybrid,1,0,0,yes,3,no,3,0,3,1,2,3,12,10,19,6,0,12,18,30
157529,GP,F,15,U,LE3,T,1,0,At_home,At_home,0,3,0,no,3,yes,2,1,1,0,0,0,8,7,5,8,6,7,9,44
494710,GP,M,19,R,LE3,T,0,1,Full_time,Full_time,3,4,1,yes,1,no,1,1,0,1,3,2,10,12,21,8,1,14,19,49
511579,MS,F,15,U,LE3,A,0,1,At_home,Full_time,2,3,0,yes,1,yes,1,1,0,2,1,4,11,0,8,14,5,8,15,84
777172,GP,M,19,R,LE3,A,2,0,Full_time,At_home,0,0,0,yes,2,yes,1,0,0,4,0,3,9,20,6,13,2,12,20,67
206741,GP,M,17,U,LE3,A,0,1,Full_time,At_home,2,5,0,no,1,no,1,1,1,1,1,1,24,3,17,0,6,5,15,7
720348,MS,M,14,R,GT3,T,0,1,Hybrid,Hybrid,1,5,0,no,3,no,2,1,1,4,1,4,18,16,4,19,1,13,18,89
107160,GP,M,17,U,GT3,A,0,0,Hybrid,Full_time,3,0,0,no,3,yes,3,1,2,3,4,2,12,19,17,18,2,18,19,108
272415,GP,F,18,R,LE3,A,3,1,Hybrid,At_home,3,3,0,yes,2,yes,2,4,1,0,2,4,7,14,7,6,9,9,14,34
647881,MS,F,15,U,GT3,T,3,0,Full_time,Hybrid,1,1,0,yes,2,no,3,3,0,5,4,1,3,15,0,0,8,5,15,7
755644,GP,M,20,U,LE3,A,2,0,Full_time,Hybrid,0,4,0,yes,1,yes,2,2,0,2,4,1,9,0,19,19,6,12,19,96
541299,GP,F,20,U,GT3,A,0,0,Hybrid,Hybrid,0,0,0,no,2,no,1,0,4,0,2,1,17,14,16,14,3,15,17,71
268923,MS,F,21,R,GT3,A,0,1,At_home,At_home,0,1,2,no,2,no,3,0,0,0,1,0,26,18,6,4,1,9,18,19
644666,GP,F,18,U,LE3,T,3,0,Hybrid,Hybrid,0,5,0,no,1,yes,1,2,3,4,1,1,9,6,7,4,10,5,9,29
763851,MS,M,19,U,LE3,T,0,0,At_home,At_home,4,4,0,no,1,no,2,1,2,3,3,2,7,18,12,14,8,14,17,77
951932,GP,M,16,U,GT3,A,3,2,Full_time,At_home,0,5,1,no,3,yes,2,1,1,0,0,1,20,4,0,7,2,4,5,35
952868,MS,F,17,U,LE3,T,2,0,At_home,Hybrid,3,0,0,yes,2,no,1,3,0,1,2,1,15,10,8,18,8,12,17,95
887891,GP,M,15,U,LE3,A,1,2,Full_time,Full_time,0,6,0,no,2,no,3,3,3,4,0,1,9,15,10,4,2,8,16,19
506896,MS,F,21,R,LE3,A,1,1,Full_time,Hybrid,2,0,0,yes,3,no,2,3,2,0,3,2,21,-1,2,19,5,7,17,87
643593,GP,M,19,R,GT3,A,0,0,Full_time,Full_time,0,5,0,no,1,no,2,4,0,1,4,4,6,17,1,12,5,10,17,65
266373,MS,F,17,R,LE3,A,2,0,Hybrid,Full_time,0,3,0,yes,3,no,3,3,2,1,1,2,4,7,0,7,7,5,8,45
788052,GP,F,20,U,GT3,A,1,2,At_home,At_home,3,1,0,no,1,no,2,3,1,2,1,2,1,1,6,11,8,6,11,61
794707,GP,M,16,U,GT3,T,2,1,At_home,At_home,0,2,0,no,1,no,3,1,2,2,3,3,14,12,17,4,2,11,17,13
248261,GP,M,17,R,LE3,A,1,0,Hybrid,Full_time,2,0,2,yes,2,yes,2,0,3,2,3,2,10,14,17,5,3,11,14,30
762955,GP,M,16,U,LE3,A,0,2,Hybrid,Full_time,1,3,0,no,2,yes,2,2,4,3,4,3,18,10,9,7,7,9,10,44
577364,GP,F,14,R,GT3,A,3,0,Full_time,At_home,1,3,3,no,1,yes,3,0,3,4,2,4,8,6,19,9,2,13,19,46
164370,MS,M,20,R,GT3,A,1,0,At_home,At_home,4,2,0,no,3,yes,3,2,3,3,1,2,14,2,16,1,6,6,16,9
364065,GP,F,18,U,GT3,T,1,3,At_home,Hybrid,2,0,0,no,3,no,3,1,2,1,1,4,3,10,7,10,8,8,11,67
727564,GP,F,18,R,LE3,T,1,3,At_home,Hybrid,0,4,0,no,2,yes,2,1,2,3,2,2,5,9,11,0,6,6,11,2
358741,MS,F,18,R,GT3,T,1,0,Hybrid,At_home,2,1,0,no,3,yes,1,3,2,5,0,1,20,2,0,1,9,1,3,11
