student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,schoolsup,famsup,paidTuition,activities,free_time,going_out,mobile_time,tv_watch_time,health,absences,G1,G2,G3,no_of_hours,Average_Grade,Max_Score,G4
716301,GP,M,19,U,LE3,A,3,1,Full_time,Hybrid,0,4,0,no,1,yes,1,4,2,3,0,2,16,4,1,0,6,0,3,3
259827,GP,F,17,R,GT3,A,2,3,Hybrid,Hybrid,1,3,0,no,3,yes,2,3,1,0,2,1,0,7,3,12,2,9,13,66
125811,GP,F,21,U,GT3,T,3,1,Full_time,Hybrid,0,1,0,no,1,yes,2,1,1,0,3,1,20,1,0,4,9,1,2,9
551338,MS,M,19,U,GT3,A,3,0,Hybrid,At_home,2,0,0,yes,2,yes,2,3,1,0,3,0,10,5,2,8,0,5,8,41
399841,GP,F,16,R,GT3,T,1,2,Hybrid,Hybrid,4,2,2,no,1,no,3,0,2,1,3,5,13,18,1,13,3,12,18,69
685484,MS,F,14,R,GT3,T,1,1,Full_time,Full_time,0,4,0,yes,2,yes,2,4,1,2,0,4,7,16,10,4,3,11,15,35
737388,GP,F,20,R,LE3,T,1,1,Full_time,Full_time,0,5,0,no,2,no,2,1,3,1,3,5,6,1,3,11,5,4,10,62
511560,MS,F,21,R,LE3,T,0,1,Hybrid,Full_time,3,3,0,yes,3,yes,3,3,3,0,3,0,13,17,14,15,5,14,18,74
120656,MS,F,20,U,LE3,T,0,2,Full_time,Full_time,1,6,0,no,3,no,1,2,0,1,3,1,21,10,13,4,1,8,12,19
257454,GP,F,17,R,GT3,T,0,0,Hybrid,At_home,3,0,0,yes,3,no,3,3,0,1,0,0,24,0,8,10,10,6,10,52
262103,GP,F,16,U,LE3,T,1,1,Hybrid,At_home,3,6,0,yes,3,yes,3,5,0,2,2,1,22,5,2,2,1,3,5,11
302421,GP,F,15,R,GT3,A,1,0,Full_time,Full_time,2,5,0,no,2,no,3,2,3,4,3,1,9,15,14,12,2,13,15,56
160574,MS,F,21,U,LE3,A,1,0,At_home,Hybrid,3,1,2,no,2,yes,3,0,0,2,0,2,17,16,3,7,8,9,16,32
560476,GP,M,15,R,LE3,A,1,1,Hybrid,Hybrid,2,0,0,yes,3,no,2,0,3,1,1,3,12,11,18,4,0,11,19,34
157529,GP,F,15,U,LE3,T,0,1,Full_time,Full_time,1,2,0,yes,1,yes,3,1,2,0,0,0,7,6,5,9,6,7,8,52
494710,GP,M,19,U,GT3,A,0,1,Hybrid,At_home,2,4,0,yes,1,yes,2,2,0,1,3,1,12,10,20,9,1,14,19,44
511579,MS,F,15,U,LE3,A,0,1,Full_time,Hybrid,1,3,0,yes,2,no,2,1,0,3,0,3,12,0,9,15,4,8,15,80
777172,MS,M,19,U,GT3,A,3,1,Full_time,Hybrid,0,0,0,yes,2,yes,2,1,0,3,1,3,8,20,6,12,1,12,19,65
206741,MS,M,17,U,GT3,T,0,1,At_home,Full_time,2,4,0,no,3,no,1,1,1,2,0,1,25,3,17,0,6,5,14,5
720348,MS,M,14,R,LE3,A,1,1,At_home,At_home,0,4,0,no,1,yes,1,0,1,4,2,4,20,16,4,19,0,13,18,91
107160,MS,M,17,R,GT3,T,0,0,Full_time,At_home,3,0,0,yes,2,no,2,0,2,2,3,3,12,22,17,18,3,19,18,106
272415,GP,F,18,R,GT3,T,2,2,Full_time,Full_time,2,3,0,no,3,no,3,4,1,0,3,3,6,14,7,6,10,9,14,39
647881,GP,F,15,R,LE3,A,3,0,At_home,At_home,2,1,0,yes,2,no,3,3,0,5,3,0,5,15,1,0,8,6,16,6
755644,GP,M,20,R,LE3,T,2,0,Full_time,At_home,0,5,0,no,2,no,2,3,1,3,4,1,9,0,19,19,5,12,18,96
541299,MS,F,20,U,GT3,T,0,0,Hybrid,Hybrid,1,0,0,yes,1,yes,1,0,4,1,2,2,18,15,16,14,3,14,17,71
268923,GP,F,21,R,LE3,A,0,1,Full_time,Hybrid,0,0,1,no,1,no,1,0,0,0,1,1,27,18,7,4,2,9,18,14
644666,GP,F,18,U,LE3,T,3,0,Full_time,Full_time,1,4,1,no,3,no,1,1,2,4,2,2,11,6,8,4,10,5,8,31
763851,GP,M,19,U,LE3,T,0,1,Hybrid,Full_time,3,4,0,yes,3,yes,2,2,1,2,3,1,6,18,11,15,7,14,18,75
951932,GP,M,16,R,GT3,A,2,2,At_home,Hybrid,0,5,2,no,2,no,3,2,0,0,0,1,21,3,0,6,3,4,5,33
952868,MS,F,17,U,GT3,T,3,0,Full_time,Hybrid,2,0,0,no,1,no,3,2,0,0,1,1,13,9,9,19,8,11,16,87
887891,GP,M,15,R,GT3,A,2,1,Full_time,Full_time,0,5,0,yes,1,no,1,2,3,3,1,1,9,15,9,4,1,8,15,20
506896,MS,F,21,U,LE3,A,1,2,At_home,Hybrid,2,0,0,no,3,yes,1,3,3,0,4,3,20,0,3,17,5,7,18,86
643593,MS,M,19,U,GT3,A,0,0,At_home,At_home,0,4,0,no,1,no,1,4,0,1,3,3,6,17,1,12,4,11,17,58
266373,MS,F,17,R,GT3,T,2,0,At_home,Full_time,0,4,0,no,2,no,1,4,2,0,1,3,5,8,0,7,7,6,8,46
788052,GP,F,20,R,LE3,T,2,1,At_home,Hybrid,2,0,0,no,3,yes,3,3,1,2,1,2,0,1,6,12,8,5,11,61
794707,GP,M,16,U,LE3,T,1,1,At_home,At_home,0,1,0,yes,1,no,3,2,3,2,4,3,14,11,18,4,3,10,17,14
248261,MS,M,17,R,GT3,T,1,0,Full_time,Hybrid,2,0,2,no,2,yes,3,0,4,1,4,3,11,14,17,6,2,11,15,27
762955,GP,M,16,U,LE3,T,0,2,At_home,Full_time,2,4,0,yes,1,yes,1,2,4,3,4,4,17,8,8,8,8,10,9,44
577364,GP,F,14,R,LE3,A,2,0,At_home,Full_time,1,3,3,no,1,no,2,0,3,4,2,4,8,6,18,10,3,13,20,52
164370,MS,M,20,U,GT3,T,1,1,At_home,Full_time,4,2,0,no,2,yes,2,1,2,3,2,2,13,3,16,0,5,7,16,10
364065,GP,F,18,U,LE3,T,2,2,At_home,Hybrid,2,0,0,no,3,yes,2,1,3,0,1,4,3,9,7,8,7,9,11,65
727564,MS,F,18,R,GT3,T,1,2,At_home,At_home,0,3,0,yes,3,yes,1,0,2,2,2,3,4,8,10,0,7,7,10,0
358741,GP,F,18,U,GT3,A,0,0,Full_time,At_home,3,1,0,yes,3,yes,2,4,1,5,0,1,20,2,0,2,9,1,3,14
102387,MS,F,18,U,LE3,A,0,2,At_home,At_home,1,0,0,yes,2,yes,2,4,0,5,3,3,10,9,19,2,4,8,16,11
438410,GP,F,20,R,LE3,A,1,0,Full_time,At_home,0,3,0,yes,1,no,2,1,1,3,0,0,3,9,20,13,7,14,18,74
442510,GP,M,18,U,LE3,A,0,2,Hybrid,Full_time,3,3,0,yes,1,no,1,1,1,1,4,5,13,4,11,2,9,5,10,10
331372,MS,M,16,U,LE3,A,1,2,At_home,Hybrid,2,4,0,no,1,no,2,1,4,1,0,4,22,16,4,19,3,14,19,108
104825,GP,F,18,U,LE3,T,0,0,At_home,Hybrid,3,4,0,no,3,no,3,2,2,2,3,2,5,13,1,2,6,5,13,16
105282,MS,F,20,U,LE3,A,1,0,Full_time,Full_time,2,0,2,no,2,no,1,0,2,4,3,3,9,20,1,14,5,11,20,74
610407,GP,F,16,U,GT3,T,0,0,At_home,Full_time,3,1,0,yes,2,yes,3,2,2,3,0,0,13,12,12,4,4,11,13,25
115451,GP,F,15,R,GT3,T,2,1,Hybrid,Full_time,0,0,1,yes,3,no,3,1,1,4,3,5,17,2,10,5,3,6,11,17
352622,MS,M,18,R,LE3,T,2,0,Full_time,Hybrid,1,5,0,yes,3,yes,2,2,2,4,0,4,27,17,11,9,3,11,16,49
862294,MS,M,16,R,GT3,A,1,0,Full_time,At_home,0,2,1,yes,2,yes,2,2,2,1,3,2,10,8,11,6,0,8,11,28
773265,MS,F,17,R,LE3,T,1,0,Full_time,At_home,0,4,0,yes,1,no,3,4,1,2,0,2,15,16,15,1,6,10,16,7
855015,GP,M,15,R,LE3,A,3,0,Full_time,Hybrid,2,3,2,no,1,no,2,5,3,5,1,3,7,10,13,5,8,11,13,26
233770,GP,F,16,U,GT3,T,1,1,Full_time,Hybrid,3,5,3,no,1,yes,3,3,1,5,3,4,1,15,5,11,8,11,19,49
772252,GP,M,17,U,LE3,T,3,1,At_home,Full_time,4,5,2,yes,2,yes,1,2,3,3,4,3,21,6,10,12,1,10,12,68
882586,GP,M,19,U,GT3,T,0,3,At_home,At_home,1,5,0,yes,2,no,3,4,2,0,3,4,17,0,0,18,7,6,16,92
672356,MS,F,21,R,GT3,T,1,1,Hybrid,At_home,2,5,0,no,2,yes,2,0,1,2,1,3,17,12,2,3,9,6,11,25
858974,MS,M,16,R,LE3,T,0,1,Hybrid,At_home,2,2,0,yes,1,no,3,3,2,2,1,1,0,4,17,6,4,10,17,33
696014,MS,M,18,U,GT3,T,0,1,Hybrid,At_home,2,0,0,no,2,no,1,3,3,2,2,1,26,10,19,4,9,11,20,22
965134,MS,M,16,U,LE3,T,2,0,Hybrid,Full_time,2,4,0,no,2,no,2,0,0,2,3,1,2,1,8,2,4,3,9,5
522905,GP,M,14,U,GT3,A,1,2,At_home,Hybrid,1,0,0,no,1,no,1,3,0,3,1,2,9,7,1,4,0,3,8,19
332198,MS,M,14,U,GT3,T,0,2,Hybrid,At_home,2,3,0,no,3,no,1,5,3,2,0,1,3,10,16,5,8,11,15,41
131604,GP,F,18,R,GT3,A,3,2,At_home,At_home,3,0,0,yes,2,no,2,4,3,3,2,1,8,4,5,14,9,7,14,71
214751,MS,F,16,U,GT3,A,0,1,Full_time,Full_time,0,2,0,no,3,yes,2,1,1,4,4,0,8,0,15,14,6,10,15,70
431601,MS,F,20,R,GT3,A,1,0,Full_time,Full_time,1,5,0,no,2,yes,1,2,2,3,1,3,26,18,15,9,7,13,17,42
456671,GP,M,18,U,GT3,T,2,3,Full_time,At_home,4,3,0,no,1,yes,2,4,2,0,4,0,0,5,7,16,3,9,16,84
668075,GP,F,17,R,LE3,T,1,1,Full_time,Full_time,1,4,0,yes,3,yes,1,5,1,2,1,5,3,4,6,11,4,7,11,56
527531,GP,F,17,U,LE3,A,2,0,Full_time,Full_time,2,0,0,no,1,no,2,1,2,0,1,1,14,7,0,8,3,6,9,47
394179,MS,F,20,R,GT3,T,1,1,At_home,At_home,3,4,2,yes,1,yes,2,4,0,0,4,2,24,15,17,7,7,13,18,46
659132,MS,M,15,U,LE3,A,1,2,At_home,Hybrid,0,0,0,no,3,no,1,2,1,2,3,1,28,10,1,8,5,7,11,39
605482,MS,M,14,U,LE3,T,2,0,Full_time,Full_time,0,0,0,yes,3,no,1,5,2,3,1,1,18,9,10,2,7,8,11,23
378964,GP,F,19,R,LE3,A,1,0,Full_time,Hybrid,2,4,0,yes,3,yes,1,1,0,1,2,2,9,17,13,15,3,15,18,72
319077,GP,F,18,R,GT3,A,2,2,At_home,Hybrid,0,5,0,yes,3,yes,1,1,2,5,4,1,24,4,15,8,3,9,16,52
408820,MS,F,21,U,LE3,T,1,2,At_home,Hybrid,2,0,0,no,2,no,2,4,0,0,2,3,16,5,8,1,7,4,9,16
857321,MS,M,17,R,GT3,A,2,1,Full_time,At_home,3,1,0,yes,2,yes,2,0,3,1,4,0,13,18,7,2,0,10,18,17
412058,GP,F,19,R,LE3,T,1,0,At_home,Full_time,2,1,0,yes,2,no,3,3,1,0,2,4,2,16,7,-1,1,8,18,0
756095,GP,F,16,R,LE3,T,2,0,Full_time,Full_time,1,0,0,no,1,yes,1,2,4,3,3,1,23,15,11,16,5,15,17,92
434894,GP,F,17,R,GT3,A,0,0,Hybrid,Hybrid,1,4,0,no,1,no,1,2,3,1,0,4,7,17,10,0,1,8,15,4
123968,GP,M,20,R,LE3,T,2,1,Full_time,Full_time,0,5,0,yes,1,no,1,4,0,0,0,4,0,10,9,2,2,8,9,12
406768,MS,F,17,R,LE3,A,1,0,Hybrid,Full_time,0,1,0,no,2,no,2,5,2,1,0,3,23,7,9,9,3,10,10,49
464542,GP,M,19,U,GT3,T,2,1,At_home,At_home,2,0,0,no,1,yes,3,1,3,2,3,0,16,13,2,0,0,6,14,4
680034,GP,M,17,R,GT3,T,2,1,Full_time,Full_time,2,0,0,yes,3,no,2,2,2,1,3,1,4,16,1,8,10,8,17,51
432408,MS,M,18,R,GT3,A,0,0,At_home,At_home,4,4,0,no,1,yes,3,1,2,1,4,1,22,15,7,15,6,12,15,73
224458,GP,F,17,R,GT3,A,2,3,Hybrid,Full_time,1,4,0,yes,2,no,2,2,2,1,0,1,7,14,17,0,8,10,17,2
922929,GP,F,16,U,LE3,A,1,1,Full_time,Full_time,2,3,0,yes,1,no,3,0,2,3,1,3,17,2,11,14,0,10,14,78
500457,MS,M,17,R,GT3,A,2,2,Full_time,Hybrid,4,2,0,no,3,no,3,3,1,4,0,1,25,6,6,0,2,4,5,9
838356,MS,M,17,U,GT3,T,0,2,Hybrid,Hybrid,1,2,0,no,2,no,1,4,1,1,3,3,13,0,10,1,2,4,11,16
307080,GP,F,20,U,GT3,A,1,1,Hybrid,Full_time,1,5,0,no,1,yes,2,0,0,2,3,2,13,17,3,4,8,8,18,11
816999,MS,F,21,U,LE3,T,3,1,At_home,Full_time,0,3,0,yes,2,yes,2,0,3,5,2,3,5,0,1,6,8,0,5,32
641345,MS,F,15,U,GT3,T,1,0,At_home,At_home,2,0,0,no,1,yes,2,2,3,4,3,3,29,6,3,13,1,7,14,69
411844,MS,F,19,U,LE3,A,0,0,Full_time,Hybrid,0,2,2,yes,3,no,3,3,0,5,0,0,7,6,1,19,3,8,18,105
879176,GP,M,19,R,GT3,A,2,1,Full_time,Full_time,2,0,0,yes,1,yes,3,0,1,2,4,3,20,9,11,10,2,10,11,51
638720,MS,M,20,R,GT3,A,3,0,At_home,At_home,4,1,0,yes,2,no,2,5,0,0,3,2,2,0,11,4,4,4,12,21
685776,GP,F,14,R,LE3,T,1,2,Hybrid,At_home,3,0,0,no,2,no,2,1,1,1,4,2,16,17,10,12,4,13,19,63
723487,GP,F,20,U,LE3,T,2,2,At_home,At_home,2,1,1,no,1,yes,2,0,3,1,0,3,27,19,0,15,2,11,20,75
643241,MS,F,18,R,GT3,A,2,2,Hybrid,Hybrid,3,2,0,no,2,no,1,0,1,0,2,2,10,13,6,9,8,9,11,49
356039,MS,M,18,U,LE3,T,1,0,Hybrid,Hybrid,2,3,2,yes,3,no,2,2,0,2,3,2,1,13,3,10,6,8,12,51
313905,GP,F,17,R,LE3,T,3,1,Full_time,Full_time,1,2,0,yes,2,yes,1,1,0,1,1,4,16,8,19,17,6,14,18,90
215864,GP,M,14,U,LE3,A,2,0,Hybrid,Full_time,4,0,0,yes,1,no,2,0,2,2,0,0,14,17,16,16,1,16,17,75
598793,MS,F,19,U,LE3,T,3,2,At_home,Full_time,2,1,2,yes,3,yes,1,2,3,1,1,2,29,13,8,4,0,9,14,35
827592,MS,M,14,U,GT3,A,0,0,Full_time,Hybrid,0,2,1,yes,1,yes,2,2,1,2,4,0,21,7,10,6,5,8,11,39
