student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,schoolsup,famsup,paidTuition,activities,free_time,going_out,mobile_time,tv_watch_time,health,absences,G1,G2,G3,no_of_hours,Average_Grade,Max_Score,G4
716301,GP,M,19,U,LE3,A,3,2,Hybrid,At_home,1,4,0,no,1,no,3,4,1,2,1,2,16,5,1,1,6,1,4,4
259827,GP,F,17,U,LE3,A,2,2,Full_time,Full_time,2,3,0,yes,3,no,2,3,1,1,3,0,2,8,3,13,3,8,12,63
125811,MS,F,21,R,GT3,A,2,2,Hybrid,Hybrid,1,2,0,yes,2,yes,3,0,0,0,3,2,21,0,0,2,9,0,2,20
551338,GP,M,19,R,GT3,A,2,1,At_home,Hybrid,2,0,0,yes,2,no,2,2,1,0,4,0,9,5,1,7,0,5,7,47
399841,MS,F,16,R,GT3,A,1,2,At_home,At_home,3,3,1,yes,3,yes,1,0,2,0,3,4,13,17,1,14,3,11,19,68
685484,MS,F,14,R,GT3,T,0,1,At_home,Full_time,0,4,0,yes,2,no,2,5,0,1,0,3,7,15,11,4,3,10,14,31
737388,GP,F,20,R,LE3,A,0,1,At_home,Hybrid,0,4,0,no,2,yes,1,2,3,1,3,4,4,1,2,12,4,4,10,56
511560,GP,F,21,R,GT3,A,0,1,At_home,Hybrid,4,2,0,yes,1,no,2,3,3,1,2,0,12,18,13,15,6,14,17,80
120656,GP,F,20,U,LE3,T,0,2,Full_time,Full_time,2,5,0,yes,3,yes,3,3,0,2,4,0,21,10,12,4,1,8,11,16
257454,GP,F,17,U,GT3,A,0,0,Full_time,Full_time,2,0,0,yes,3,no,3,3,0,0,1,0,22,1,9,9,9,6,9,58
262103,GP,F,16,U,LE3,T,2,0,Hybrid,At_home,3,5,1,yes,3,no,2,4,0,2,2,2,23,6,1,1,1,4,5,4
302421,MS,F,15,R,GT3,T,0,0,Hybrid,At_home,2,4,0,no,2,yes,3,3,4,4,3,2,11,14,15,11,3,14,14,61
160574,GP,F,21,R,GT3,A,1,0,At_home,At_home,3,0,1,no,1,no,2,0,0,2,1,3,16,16,4,7,9,9,16,34
560476,MS,M,15,R,LE3,T,2,1,Hybrid,At_home,1,0,0,no,1,yes,3,0,3,2,1,4,14,9,19,5,0,12,19,35
157529,MS,F,15,U,LE3,T,0,0,Full_time,Full_time,0,2,0,no,1,yes,1,2,1,0,0,0,8,7,5,8,6,8,9,49
494710,MS,M,19,U,GT3,A,1,2,At_home,Full_time,2,5,1,yes,3,no,3,1,1,2,3,2,10,12,19,9,0,13,20,46
511579,MS,F,15,R,GT3,A,0,0,At_home,At_home,1,3,0,yes,3,no,2,1,0,3,1,3,11,0,7,15,5,8,16,79
777172,GP,M,19,R,LE3,A,2,1,Full_time,Hybrid,0,0,0,no,1,yes,3,0,1,4,0,3,8,20,5,13,2,11,20,71
206741,GP,M,17,U,LE3,A,0,1,Hybrid,At_home,1,5,0,yes,2,yes,3,1,1,1,0,2,24,2,17,0,5,6,15,7
720348,MS,M,14,R,GT3,T,1,1,Hybrid,Hybrid,0,5,0,yes,2,no,2,0,1,4,2,5,17,17,4,18,1,13,17,93
